x,y,value,group,label,facet,source,target,weight,lower,upper
EWSR1,EWSR1-FLI1,308.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,308.0,278.1798725690181,337.8201274309819
ALK,EML4-ALK,309.0,,ALK,Known fusion,ALK,EML4-ALK,309.0,279.1798725690181,338.8201274309819
ALK,EML4-ALK,310.0,,ALK,Known fusion,ALK,EML4-ALK,310.0,280.1798725690181,339.8201274309819
NTRK1,LMNA-NTRK1,311.0,,NTRK1,Known fusion,NTRK1,LMNA-NTRK1,311.0,281.1798725690181,340.8201274309819
RET,KIF5B-RET,312.0,,RET,Known fusion,RET,KIF5B-RET,312.0,282.1798725690181,341.8201274309819
ALK,EML4-ALK,313.0,,ALK,Known fusion,ALK,EML4-ALK,313.0,283.1798725690181,342.8201274309819
FGFR3,FGFR3-TACC3,314.0,,FGFR3,Known fusion,FGFR3,FGFR3-TACC3,314.0,284.1798725690181,343.8201274309819
RET,CCDC6-RET,315.0,,RET,Known fusion,RET,CCDC6-RET,315.0,285.1798725690181,344.8201274309819
ALK,EML4-ALK,316.0,,ALK,Known fusion,ALK,EML4-ALK,316.0,286.1798725690181,345.8201274309819
BRAF,CUL1-BRAF,317.0,,BRAF,Known fusion,BRAF,CUL1-BRAF,317.0,287.1798725690181,346.8201274309819
SS18,SS18-SSX1,318.0,,SS18,Known fusion,SS18,SS18-SSX1,318.0,288.1798725690181,347.8201274309819
TFE3,ASPSCR1-TFE3,319.0,,TFE3,Known fusion,TFE3,ASPSCR1-TFE3,319.0,289.1798725690181,348.8201274309819
FGFR2,FGFR2-WAC,320.0,,FGFR2,Known fusion,FGFR2,FGFR2-WAC,320.0,290.1798725690181,349.8201274309819
ROS1,CD74-ROS1,321.0,,ROS1,Known fusion,ROS1,CD74-ROS1,321.0,291.1798725690181,350.8201274309819
SS18,SS18-SSX2,322.0,,SS18,Known fusion,SS18,SS18-SSX2,322.0,292.1798725690181,351.8201274309819
TFE3,NONO-TFE3,323.0,,TFE3,Known fusion,TFE3,NONO-TFE3,323.0,293.1798725690181,352.8201274309819
ALK,EML4-ALK,324.0,,ALK,Known fusion,ALK,EML4-ALK,324.0,294.1798725690181,353.8201274309819
RET,NCOA4-RET,325.0,,RET,Known fusion,RET,NCOA4-RET,325.0,295.1798725690181,354.8201274309819
